Cycle;active_ego;width_ego;length_ego;x_ego;y_ego;vx_ego;vy_ego;ax_ego;ay_ego;w_ego;active_1;width_1;length_1;x_1;y_1;vx_1;vy_1;ax_1;ay_1;w_1;active_2;width_2;length_2;x_2;y_2;vx_2;vy_2;ax_2;ay_2;w_2
62;1;1.899;5.289;10000.66242;-10.57231618;1.826036297;0.036614121;2.390890963;-0.047951466;0.02004846;1;1.885342708;5;9752.467838;-8.737849387;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.75088;-9.696409837;0.609783007;0.014323252;0.999644274;0.023480742;0.02348478
63;1;1.899;5.289;10000.6808;-10.57194227;1.848987476;0.03707928;2.199683357;-0.04413396;0.020051142;1;1.885342708;5;9752.724504;-8.737688528;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.75708;-9.696264257;0.61977945;0.01455806;0.999644274;0.023480742;0.02348478
64;1;1.899;5.289;10000.69941;-10.57156377;1.870000832;0.037505839;2.00346337;-0.040175137;0.020053901;1;1.885342708;5;9752.981171;-8.737527669;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.76337;-9.696116328;0.629775892;0.014792867;0.999644274;0.023480742;0.02348478
65;1;1.899;5.289;10000.71822;-10.57118109;1.889303312;0.037898293;1.868087658;-0.037407944;0.020056712;1;1.885342708;5;9753.237837;-8.73736681;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.76977;-9.695966051;0.639772335;0.015027675;0.999644274;0.023480742;0.02348478
66;1;1.899;5.289;10000.73723;-10.57079453;1.907261232;0.038263942;1.719827257;-0.03436055;0.020059554;1;1.885342708;5;9753.494504;-8.737205952;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.77627;-9.695813427;0.649768778;0.015262482;0.999644274;0.023480742;0.02348478
67;1;1.899;5.289;10000.7564;-10.57040439;1.923823133;0.038601699;1.594968721;-0.031770911;0.020062406;1;1.885342708;5;9753.751171;-8.737045093;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.78287;-9.695658454;0.659765221;0.015497289;0.999644274;0.023480742;0.02348478
68;1;1.899;5.289;10000.77574;-10.57001097;1.93896753;0.038911083;1.431311155;-0.02839889;0.020065246;1;1.885342708;5;9754.007837;-8.736884234;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.78956;-9.695501133;0.669761663;0.015732097;0.999644274;0.023480742;0.02348478
69;1;1.899;5.289;10000.79522;-10.56961457;1.95270894;0.039192339;1.323408127;-0.026151466;0.020068059;1;1.885342708;5;9754.264504;-8.736723375;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.79636;-9.695341464;0.679758106;0.015966904;0.999644274;0.023480742;0.02348478
70;1;1.899;5.289;10000.81484;-10.56921545;1.965317985;0.039450858;1.195608561;-0.023516274;0.020070829;1;1.885342708;5;9754.52117;-8.736562516;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.80326;-9.695179447;0.689754549;0.016201712;0.999644274;0.023480742;0.02348478
71;1;1.899;5.289;10000.83457;-10.56881387;1.976686948;0.039684443;1.084785655;-0.021237849;0.020073544;1;1.885342708;5;9754.777837;-8.736401658;25.66666163;0.016085877;0;0;0.00062672;1;2.065267878;7;10040.81026;-9.695015081;0.699750992;0.016436519;0.999644274;0.023480742;0.02348478
